,ids,typesV0,typesKm,formula,labels
580,mp-1222664,"['Li', 'Li', 'Li', 'Li', 'Mn', 'Co', 'Co', 'Ni', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Mn1', 'Co6', 'Co6', 'Ni4', 'O4', 'O4', 'O4', 'O4', 'O4', 'O4', 'O4', 'O1']",Li4MnCo2NiO8,1
581,mp-1174418,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn2', 'Mn2', 'Co6', 'Co6', 'Co6', 'Co6', 'O4', 'O4', 'O4', 'O4', 'O1', 'O1', 'O4', 'O4', 'O1', 'O4', 'O4', 'O4', 'O4', 'O1']",Li4MnCo2O7,0
582,mp-1174606,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn2', 'Mn2', 'Co6', 'Co6', 'Co6', 'Co5', 'O4', 'O4', 'O1', 'O1', 'O1', 'O4', 'O1', 'O4', 'O4', 'O4', 'O1', 'O4', 'O1', 'O4']",Li4MnCo2O7,0
583,mp-1174423,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn2', 'Mn2', 'Co6', 'Co6', 'Co6', 'Co6', 'O4', 'O1', 'O1', 'O4', 'O4', 'O1', 'O1', 'O4', 'O4', 'O1', 'O1', 'O4', 'O1', 'O1']",Li4MnCo2O7,0
584,mp-1174561,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn8', 'Mn8', 'Co2', 'Co1', 'Co1', 'Co2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2']",Li4MnCo2O7,0
585,mp-778315,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Mn', 'Co', 'Co', 'Ni', 'Ni', 'Ni', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li1', 'Li1', 'Li0', 'Li1', 'Li1', 'Li0', 'Li1', 'Li1', 'Li1', 'Li1', 'Mn6', 'Mn6', 'Mn6', 'Co0', 'Co0', 'Ni5', 'Ni5', 'Ni5', 'O2', 'O0', 'O2', 'O1', 'O0', 'O0', 'O0', 'O2', 'O4', 'O0', 'O2', 'O2', 'O0', 'O0', 'O2', 'O2']",Li10Mn3Co2Ni3O16,1
586,mp-1174729,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn8', 'Mn6', 'Co6', 'Co1', 'Co1', 'Co2', 'O2', 'O4', 'O4', 'O2', 'O1', 'O1', 'O2', 'O1', 'O1', 'O4', 'O2', 'O2', 'O4', 'O2']",Li4MnCo2O7,0
587,mp-1174476,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn2', 'Mn2', 'Co2', 'Co2', 'Co2', 'Co2', 'O1', 'O1', 'O4', 'O4', 'O4', 'O1', 'O4', 'O4', 'O1', 'O1', 'O4', 'O1', 'O4', 'O4']",Li4MnCo2O7,0
588,mp-1222620,"['Li', 'Li', 'Li', 'Li', 'Mn', 'Co', 'Co', 'Ni', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Mn1', 'Co6', 'Co6', 'Ni5', 'O4', 'O4', 'O1', 'O4', 'O1', 'O4', 'O4', 'O4']",Li4MnCo2NiO8,0
589,mp-1174692,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn1', 'Mn2', 'Co5', 'Co6', 'Co5', 'Co6', 'O1', 'O4', 'O1', 'O4', 'O1', 'O1', 'O1', 'O4', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1']",Li4MnCo2O7,0
